Date,Income,Savings,Expenses,LeftOver
1/1/2026,42.59,42.59,2292.18,-2249.59
2/1/2026,42.59,42.59,2292.18,-2249.59
3/1/2026,42.59,42.59,2292.18,-2249.59
4/1/2026,42.59,42.59,2292.18,-2249.59
5/1/2026,42.59,42.59,2292.18,-2249.59
6/1/2026,42.59,42.59,2292.18,-2249.59
7/1/2026,42.59,42.59,2292.18,-2249.59
8/1/2026,42.59,42.59,2292.18,-2249.59
9/1/2026,42.59,42.59,2292.18,-2249.59
10/1/2026,42.59,42.59,2292.18,-2249.59
11/1/2026,42.59,42.59,2292.18,-2249.59
12/1/2026,42.59,42.59,2292.18,-2249.59
13/1/2026,42.59,42.59,2297.7,-2255.11
14/1/2026,42.59,42.59,2317.02,-2274.43
15/1/2026,42.59,42.59,2392.54,-2349.95
16/1/2026,42.59,42.59,2550.54,-2507.95
17/1/2026,42.59,42.59,2550.54,-2507.95
18/1/2026,42.59,42.59,2563.13,-2520.54
19/1/2026,42.59,42.59,2608.13,-2565.54
20/1/2026,42.59,42.59,2614.52,-2571.93
21/1/2026,42.59,42.59,2648.65,-2606.06
22/1/2026,42.59,42.59,2671,-2628.41
23/1/2026,42.59,42.59,2701.6,-2659.01
24/1/2026,42.59,42.59,2794.14,-2751.55
25/1/2026,42.59,42.59,2815.01,-2772.42
26/1/2026,42.59,42.59,2815.01,-2772.42
27/1/2026,42.59,42.59,2815.01,-2772.42
28/1/2026,42.59,42.59,2815.01,-2772.42
29/1/2026,42.59,42.59,2815.01,-2772.42
30/1/2026,42.59,42.59,2815.01,-2772.42
31/1/2026,42.59,42.59,2815.01,-2772.42
